band050_aim60_all	succ=0.00	grip=0.63	eef=0.168	eef20=0.278	n=3	det=0.95	conf=0.103
band050_hyst35	succ=0.00	grip=0.00	eef=0.189	eef20=0.257	n=5	det=1.00	conf=0.132
band050_aim60_t0	succ=0.00	grip=0.74	eef=0.193	eef20=0.276	n=5	det=0.97	conf=0.148
band_035	succ=0.00	grip=0.00	eef=0.194	eef20=0.285	n=2	det=1.00	conf=0.121
band_050	succ=0.00	grip=0.56	eef=0.201	eef20=0.282	n=2	det=0.97	conf=0.088
aim_0_38_0_68	succ=0.00	grip=0.00	eef=0.217	eef20=0.314	n=2	det=1.00	conf=0.152
aim2_0_35_0_70	succ=0.00	grip=0.41	eef=0.222	eef20=0.288	n=2	det=0.98	conf=0.130
band050_aim70_t0	succ=0.00	grip=0.75	eef=0.224	eef20=0.284	n=5	det=1.00	conf=0.226
aim_0_5_0_68	succ=0.00	grip=0.00	eef=0.231	eef20=0.318	n=2	det=1.00	conf=0.154
uv_055_60	succ=0.00	grip=0.00	eef=0.236	eef20=0.323	n=3	det=1.00	conf=0.147
aim_0_5_0_55	succ=0.00	grip=0.00	eef=0.236	eef20=0.304	n=2	det=1.00	conf=0.114
hyst_035	succ=0.00	grip=0.00	eef=0.237	eef20=0.313	n=2	det=1.00	conf=0.120
hyst_ctrl	succ=0.00	grip=0.00	eef=0.237	eef20=0.313	n=2	det=1.00	conf=0.120
aim_0_62_0_68	succ=0.00	grip=0.00	eef=0.238	eef20=0.315	n=2	det=1.00	conf=0.121
aim2_0_5_0_70	succ=0.00	grip=0.62	eef=0.238	eef20=0.290	n=2	det=0.99	conf=0.140
uv_045_55	succ=0.00	grip=0.00	eef=0.239	eef20=0.319	n=3	det=1.00	conf=0.155
tool_settle	succ=0.00	grip=0.00	eef=0.242	eef20=0.324	n=3	det=1.00	conf=0.162
band050_aim55_t2	succ=0.00	grip=0.50	eef=0.243	eef20=0.288	n=5	det=0.86	conf=0.053
aim2_0_65_0_70	succ=0.00	grip=0.48	eef=0.245	eef20=0.289	n=2	det=0.92	conf=0.076
tool_deep	succ=0.00	grip=0.00	eef=0.245	eef20=0.325	n=3	det=1.00	conf=0.161
tool_swap_uv	succ=0.00	grip=0.00	eef=0.246	eef20=0.320	n=3	det=1.00	conf=0.168
tool_loose	succ=0.00	grip=0.00	eef=0.253	eef20=0.315	n=3	det=1.00	conf=0.196
uv_055_55	succ=0.00	grip=0.00	eef=0.253	eef20=0.328	n=3	det=1.00	conf=0.171
band050_aim60_t2	succ=0.00	grip=0.53	eef=0.255	eef20=0.288	n=5	det=0.99	conf=0.067
band050_aim65_t2	succ=0.00	grip=0.56	eef=0.255	eef20=0.291	n=5	det=0.98	conf=0.069
uv_055_50	succ=0.00	grip=0.00	eef=0.255	eef20=0.318	n=3	det=1.00	conf=0.163
aim2_0_5_0_85	succ=0.00	grip=0.64	eef=0.257	eef20=0.294	n=2	det=0.92	conf=0.120
swap_1_1_0	succ=0.00	grip=0.00	eef=0.258	eef20=0.303	n=2	det=1.00	conf=0.095
aim_0_5_0_80	succ=0.00	grip=0.00	eef=0.261	eef20=0.334	n=2	det=0.99	conf=0.109
swap_1__1_0	succ=0.00	grip=0.00	eef=0.269	eef20=0.313	n=2	det=1.00	conf=0.110
swap_n1_n1	succ=0.00	grip=0.00	eef=0.281	eef20=0.327	n=2	det=1.00	conf=0.141
sign_pp_ctrl	succ=0.00	grip=0.00	eef=0.282	eef20=0.333	n=2	det=1.00	conf=0.127
sign_pp_hyst	succ=0.00	grip=0.00	eef=0.282	eef20=0.333	n=2	det=1.00	conf=0.127
swap_n1_1	succ=0.00	grip=0.00	eef=0.282	eef20=0.319	n=2	det=0.99	conf=0.110
tool_sign_flip	succ=0.00	grip=0.00	eef=0.291	eef20=0.356	n=3	det=1.00	conf=0.179
tool_agent	succ=0.00	grip=0.00	eef=0.303	eef20=0.355	n=3	det=1.00	conf=0.123
